الشيخوخة المنتجة	老有所为	productive ageing	vieillissement productif	Активная старость	envejecimiento productivo
الشركات التجارية	贸易公司	trading companies	societes commerciales	Коммерческие компании	sociedades comerciales
الفلين	软木	cork	liege	Пробка	corcho
السويديون	瑞典人	swedes	suedois	Шведы	suecos
أكاديميات التدريب البحري	海洋训练学院	maritime training academies	academies navales	Мореходные училища	academias maritimas
سلامة الدم	血液安全	blood safety	securite transfusionnelle	Безопасность донорской крови	seguridad de las transfusiones de sangre
الوضع السياسي	政治地位	political status	statut politique	Политический статус	estatuto politico
اقتناء الأراضي	购买土地	land acquisition	acquisition de terres	Приобретение земли	adquisicion de tierras
الظواهر الطبيعية	自然现象	natural phenomena	phenomenes naturels	Явления природы	fenomenos naturales
الوقاية من الأمراض	疾病预防	disease prevention	prevention des maladies	Профилактика болезней	profilaxis
السودانيون	苏丹人	sudanese	soudanais	Суданцы	sudaneses
الهندسة الكيميائية	化学工程	chemical engineering	genie chimique	Химическая технология	ingenieria quimica
إدارة التربة	土壤管理 	soil management	gestion des sols	Почвенное хозяйство	ordenamiento de suelos
الأسلحة البحرية	海军军备	naval armaments	armements navals	Морские вооружения	armamentos navales
صيانة الملكية الثقافية	保护文化财产	cultural property preservation	conservation des biens culturels	Сохранение культурных ценностей	conservacion de bienes culturales
مسألة المغرب	摩洛哥问题	morocco question	question marocaine	Вопрос о Марокко	cuestion de marruecos
الخامات	矿	ores	minerais	Руды	yacimientos minerales
النفايات المشعة	放射性废物	radioactive wastes	dechets radioactifs	Радиоактивные отходы	desperdicios radiactivos
انعدام النمو السكاني	零人口增长	zero population growth	croissance zero de la population	Нулевой прирост населения	crecimiento demografico nulo
المدفوعات الدولية	国际收支	international payments	paiements internationaux	Международные платежи	pagos internacionales
الحروف الاستهلالية	缩略词	acronyms	acronymes	Акронимы	acronimos
أمراض القلب والأوعية الدموية	心血管疾病	cardiovascular diseases	maladies cardiovasculaires	Сердечно-сосудистые болезни	enfermedades cardiovasculares
قواميس البيانات	数据词典	data dictionaries	dictionnaires de donnees	Словари данных	diccionarios de datos
الإنشاء	建筑	construction	construction	Строительство	construccion
لاجئو الصحراء الغربية	西撒哈拉难民	western saharan refugees	refugies du sahara occidental	Западносахарские беженцы	refugiados del sahara occidental
الإغاثة في حالات الطوارئ	紧急救济	emergency relief	secours d'urgence	Чрезвычайная помощь	ayuda de emergencia
الأربيان	虾	shrimps	crevettes	Креветки	camarones
النجيل	草	grasses	herbes	Травы	hierbas
شعب بوراكو	部落民	buraku people	peuple buraku	Буракумин	buraku
البقايا المادية للحروب	战争的遗留物（地雷）	material remnants of war	restes materiels de guerre	Материальные остатки войны	restos materiales de guerra
التمويل الدولي	国际金融	international finance	finances internationales	Международные финансы	finanzas internacionales
علم التشريح	解剖学	anatomy	anatomie	Анатомия	anatomia
معاملات الأطراف المترابطة	联号交易	related party transactions	operations entre parties associees	Сделки между аффилированными лицами	transacciones entre partes vinculadas
مالطة	马耳他	malta	malte	Мальта	malta
مباني المزارع	农场建筑	farm buildings	batiments agricoles	Сельскохозяйственные постройки	construcciones agricolas
